date,eth_value,change,new_invest_value,sold_coins_value,eth return,5 percent return
2021-09-21 23:59:00,2867.12,-0.06099202515270114,18780.159496945977,0.0,18780.159496945977,20002.17411805374
2021-09-22 23:59:00,3118.5,0.02133721977500126,20426.744395500024,0.0,20426.744395500024,20005.054638376874
2021-09-23 23:59:00,3074.93,0.007067647010660399,20141.352940213208,0.0,20141.352940213208,20007.935573524857
2021-09-24 23:59:00,2912.15,-0.04624428905955748,19075.114218808852,0.0,19075.114218808852,20010.816923556948
2021-09-25 23:59:00,2866.52,-0.061188530630291296,18776.229387394174,0.0,18776.229387394174,20013.69868853369
2021-09-26 23:59:00,3131.91,0.02572911719914191,20514.58234398284,0.0,20514.58234398284,20016.580868514382
2021-09-27 23:59:00,2948.97,-0.03418540291810638,19316.29194163787,0.0,19316.29194163787,20019.463463558866
2021-09-28 19:59:00,2804.91,-0.08136636808751047,18372.67263824979,0.0,18372.67263824979,20021.86594320166
2021-09-29 23:59:00,3027.46,-0.008479211358016563,19830.415772839668,0.0,19830.415772839668,20024.150568328278
2021-09-30 23:59:00,3002.98,-0.016496634843696234,19670.067303126074,0.0,19670.067303126074,20027.034253487975
2021-10-01 23:59:00,3267.31,0.07007385330866099,21401.47706617322,0.0,21401.47706617322,20029.9183539282
2021-10-02 23:59:00,3404.97,0.11515876005043638,22303.17520100873,0.0,22303.17520100873,20032.802869708772
2021-10-03 23:59:00,3335.31,-0.01618788327497872,24031.57843024875,0.0,24031.57843024875,22035.905412716646
2021-10-04 23:59:00,3387.96,-0.0006577802424052983,24410.932254736603,0.0,24410.932254736603,22039.07881141849
2021-10-05 23:59:00,3486.63,0.02844678321863968,25121.869422110143,0.0,25121.869422110143,22042.25266712263
2021-10-06 23:59:00,3519.54,0.038154203746692636,25358.992581918224,0.0,25358.992581918224,22045.42697989486
2021-10-07 23:59:00,3574.31,0.05430964046262891,25753.621432197422,0.0,25753.621432197422,22048.601749801004
2021-10-08 23:59:00,3579.48,0.05583462873762236,25790.872320565937,0.0,25790.872320565937,22051.77697690693
2021-10-09 23:59:00,3530.53,0.04139590996374839,25438.177739204486,0.0,25438.177739204486,22054.952661278465
2021-10-10 23:59:00,3518.15,0.03774419722788399,25348.97735274371,0.0,25348.97735274371,22058.12880298142
2021-10-11 23:59:00,3486.21,0.028322896356841352,25118.843237755256,0.0,25118.843237755256,22061.30540208171
2021-10-12 23:59:00,3501.88,0.03294505617679247,25231.748734995992,0.0,25231.748734995992,22064.48245864521
2021-10-13 23:59:00,3643.0,0.07457104174102334,26248.546678238657,0.0,26248.546678238657,22067.659972737754
2021-10-14 23:59:00,3820.92,0.12705187614853444,27530.496012576354,0.0,27530.496012576354,22070.837944425188
2021-10-15 23:59:00,3842.95,0.1335500370185741,27689.22658719112,0.0,27689.22658719112,22074.016373773557
2021-10-16 23:59:00,3878.16,0.14393588559933213,27942.921708942635,0.0,27942.921708942635,22077.195260848668
2021-10-17 23:59:00,3852.77,0.136446629834906,27759.981659488763,0.0,27759.981659488763,22080.374605716443
2021-10-18 23:59:00,3823.01,0.12766836077034036,27545.55488234235,0.0,27545.55488234235,22083.554408442822
2021-10-19 23:59:00,3844.24,0.13393054666552603,27698.521296281135,0.0,27698.521296281135,22086.734669093763
2021-10-20 23:59:00,4185.82,0.2346859615537771,30159.6738009072,0.0,30159.6738009072,22089.915387735164
2021-10-21 23:59:00,4155.99,0.2258870446789117,29944.74265970164,0.0,29944.74265970164,22093.096564433017
2021-10-22 23:59:00,4023.9,0.18692462664334447,28993.007680089086,0.0,28993.007680089086,22096.27819925328
2021-10-23 23:59:00,4132.89,0.21907326728000504,29778.30252018276,0.0,29778.30252018276,22099.460292261923
2021-10-24 23:59:00,4134.69,0.21960421097342614,29791.271881703706,0.0,29791.271881703706,22102.642843524925
2021-10-25 23:59:00,4224.89,0.24621038938820547,30441.180997920324,0.0,30441.180997920324,22105.825853108287
2021-10-26 23:59:00,4209.72,0.24173571392753804,30331.878101102073,0.0,30331.878101102073,22109.009321078
2021-10-27 23:59:00,3995.64,0.17858881065662982,28789.38870421013,0.0,28789.38870421013,22112.19324750011
2021-10-28 23:59:00,4379.83,0.2919128426430377,31557.554816840526,0.0,31557.554816840526,22115.377632440588
2021-10-29 23:59:00,4342.72,0.0013235016071092539,33852.102920477555,0.0,33852.102920477555,24118.78008779261
2021-10-30 23:59:00,4370.49,0.007726574713279799,34068.5739105717,0.0,34068.5739105717,24122.253442029112
2021-10-31 23:59:00,4190.66,-0.03373776222163803,32666.77419330016,0.0,32666.77419330016,24125.72729646461
2021-11-01 23:59:00,4318.83,-0.004184939750702018,33665.87706691799,0.0,33665.87706691799,24129.201651171144
2021-11-02 23:59:00,4588.75,0.0580519163104281,35769.940792024674,0.0,35769.940792024674,24132.676506220694
2021-11-03 23:59:00,4556.41,0.05059511457281341,35517.84601998129,0.0,35517.84601998129,24136.151861685445
2021-11-04 23:59:00,4542.4,0.047364756120618516,35408.63613264895,0.0,35408.63613264895,24139.627717637388
2021-11-05 23:59:00,4491.01,0.03551549695871336,35008.0439763314,0.0,35008.0439763314,24143.10407414862
2021-11-06 23:59:00,4549.99,0.04911482183454852,35467.80123221015,0.0,35467.80123221015,24146.580931291202
2021-11-07 23:59:00,4713.86,0.08689917869116301,36745.190542499244,0.0,36745.190542499244,24150.203189914497
2021-11-08 23:59:00,4804.59,0.1078192659408161,37452.44343883494,0.0,37452.44343883494,24153.681069403297
2021-11-09 23:59:00,4713.75,-0.018526962789913146,15006.856768889282,20002.176118271153,35009.032887160436,24157.15944974278
2021-11-10 23:59:00,4633.97,-0.03513834839768201,14752.866414495862,20005.05663888234,34757.9230533782,24160.638331005062
2021-11-11 23:59:00,4781.62,-0.004395416773376741,15222.93003728589,20007.937574318417,35230.867611604306,24164.11771326237
2021-11-12 23:59:00,4622.76,-0.03747243755114266,14717.177872596261,20010.818924638643,34727.996797234904,24167.597596586365
2021-11-13 23:59:00,4633.4,-0.03525703089701065,14751.051742873848,20013.70068990356,34764.75243277741,24171.077981050003
2021-11-14 23:59:00,4704.69,-0.020413389884503183,14978.013041002538,20016.58287017247,34994.59591117501,24174.55886672502
2021-11-15 23:59:00,4345.05,-0.09529580051345785,13833.050756544657,20019.465465505215,33852.516222049875,24178.040253683637
2021-11-16 23:59:00,4142.76,-0.13741559488041163,13189.033348795283,20022.348475961542,33211.38182475683,24181.522141998037
2021-11-17 23:59:00,4255.39,-0.11396434944292086,13547.606094036333,20025.231901601263,33572.837995637594,24185.00453174045
2021-11-18 23:59:00,4052.12,-0.15628819442275535,12900.468724550865,20028.11574248416,32928.58446703502,24188.487422983075
2021-11-19 23:59:00,4291.56,-0.10643321610833822,13662.758151173586,20030.999998670013,33693.7581498436,24191.970815798115
2021-11-20 23:59:00,4330.13,-0.09840236698710932,13785.550930929843,20033.884670218627,33819.43560114847,24195.454710257793
2021-11-21 23:59:00,4154.33,-0.13500654835895412,13225.867999087735,20036.76975718984,33262.637756277574,24198.93910643438
2021-11-22 23:59:00,4168.94,-0.13196452850774457,13272.380898030926,20039.655259643478,33312.0361576744,24202.424004400138
2021-11-23 23:59:00,4269.04,-0.11112221590636985,13591.062703931922,20042.541177639385,33633.60388157131,24205.90940422732
2021-11-24 23:59:00,4288.16,-0.10714114680608731,13651.933794129995,20045.42751123737,33697.36130536736,24209.395305988182
2021-11-25 23:59:00,4423.47,-0.07896758718478851,14082.711368120643,20048.314260497293,34131.025628617936,24212.88170975501
2021-11-26 23:59:00,4133.83,-0.13927495403655832,13160.603493383735,20051.201425479016,33211.80491886275,24216.36861560009
2021-11-27 23:59:00,4020.64,-0.16284279982426655,12800.247912864917,20054.089006242408,32854.33691910733,24219.856023595734
2021-11-28 23:59:00,4324.01,-0.09967664224305747,13766.06708825138,20056.977002847343,33823.04409109872,24223.34393381427
2021-11-29 23:59:00,4443.92,-0.07470959225273949,14147.816692103414,20059.865415353728,34207.68210745714,24226.83234632803
2021-11-30 23:59:00,4726.85,-0.01579934745446844,15048.562379851352,20062.75424382144,35111.31662367279,24230.32126120933
2021-12-01 23:59:00,4509.33,-0.061090254917515595,14356.05821981554,20065.643488310372,34421.70170812591,24233.81067853052
2021-12-02 23:59:00,4530.93,-0.05659281283769841,14424.824723386586,20068.533148880455,34493.35787226704,24237.300598363967
2021-12-03 23:59:00,4018.62,-0.1632633939446939,12793.816971327255,20071.423225591592,32865.24019691885,24240.791020782017
2021-12-04 23:59:00,4158.73,0.06775374598186303,21033.062365804988,20074.313718503723,41107.37608430871,33245.26119907908
2021-12-05 23:59:00,4166.05,0.06963315566236354,21070.083768136396,20077.204627676794,41147.288395813186,33250.04886115855
2021-12-06 23:59:00,4347.16,0.11613314025736608,21986.06002172125,20080.095953170734,42066.15597489198,33254.83721271098
2021-12-07 23:59:00,4319.22,0.10895954647687713,21844.751554352468,20082.98769504551,41927.73924939798,33259.626253835646
2021-12-08 23:59:00,4391.58,0.12753797331854447,22210.717220021947,20085.879853361068,42296.59707338302,33264.415984631836
2021-12-09 23:59:00,4126.58,-0.043887859128823,11334.968420560852,29089.751681399426,40424.72010196028,33269.20640519891
2021-12-10 23:59:00,4032.28,-0.06573679332715472,11075.94338722601,29093.940907051558,40169.88429427757,33273.99751563619
2021-12-11 23:59:00,4014.18,-0.06993049119555148,11026.225963012217,29098.13073599556,40124.35669900778,33278.78931604299
2021-12-12 23:59:00,4017.75,-0.06910333642261353,11036.03210690411,29102.321168318413,40138.35327522252,33283.581806518756
2021-12-13 23:59:00,3771.17,-0.12623493975903613,10358.721473609252,29106.51220410667,39465.23367771592,33288.37498716255
2021-12-14 23:59:00,3856.22,-0.10652919369786844,10592.33843103373,29110.703843447707,39703.042274481435,33293.16885807422
2021-12-15 23:59:00,4009.18,-0.0710889712696942,11012.491867925535,29114.89608642826,40127.38795435379,33297.96341935301
2021-12-16 23:59:00,3978.75,-0.07813948100092678,10928.906165227982,29119.08893313522,40047.9950983632,33302.75867109831
2021-12-17 23:59:00,3882.46,-0.10044949026876737,10664.41496204864,29123.282383655573,39787.69734570421,33307.5546134096
2021-12-18 23:59:00,4009.17,-0.07109128822984243,11012.464399735361,29127.476438076228,40139.94083781159,33312.35124638618
2021-12-19 23:59:00,3925.64,-0.09044485634847084,10783.022607217235,29131.67109648418,39914.693703701414,33317.14857012761
2021-12-20 23:59:00,4031.12,-0.06600556070435591,11072.7570771659,29135.86635896643,40208.62343613233,33321.94658473339
2021-12-21 23:59:00,4053.99,-0.060706672845227114,11135.576828092388,29140.06222560993,40275.63905370232,33326.74529030298
2021-12-22 23:59:00,3948.73,-0.0850949953660797,10846.446658327537,29144.258696501693,39990.70535482923,33331.54468693587
2021-12-23 23:59:00,4090.37,-0.052277571825764625,11235.506103943093,29148.45577172875,40383.96187567184,33336.344774731624
2021-12-24 23:59:00,4040.64,-0.06379981464318817,11098.906794210943,29152.653451378104,40251.56024558905,33341.14555378972
2021-12-25 23:59:00,4022.9,-0.0679101019462465,11050.178224843394,29156.851735536835,40207.02996038023,33345.94702420976
2021-12-26 23:59:00,4067.91,-0.05748146431881375,11173.812548813712,29161.050624291987,40334.863173105696,33350.74918609129
2021-12-27 23:59:00,3911.78,-0.0936561631139944,10744.951695636952,29165.250117730608,39910.20181336756,33355.55203953387
2021-12-28 23:59:00,3802.95,-0.11887164040778503,10446.015381980209,29169.450215939818,39615.465597920025,33360.35558463713
2021-12-29 23:59:00,3663.48,-0.15118628359592215,10062.916533632273,29173.6509190067,39236.56745263898,33365.159821500674
2021-12-30 23:59:00,3745.92,-0.1320852641334569,10289.364293421502,29177.852227018306,39467.216520439804,33369.96475022406
2021-12-31 23:59:00,3708.21,-0.14082252085264133,10185.78174827774,29182.05414006184,39367.83588833958,33374.77037090701
2022-01-01 23:59:00,3724.34,-0.13708526413345687,10230.087939027379,29186.256658224356,39416.34459725174,33379.57668364911
2022-01-02 23:59:00,3791.87,-0.1214388322520853,10415.580627268118,29190.459781593047,39606.04040886117,33384.38368855005
2022-01-03 23:59:00,3730.84,-0.13557924003707134,10247.942262640066,29194.663510255046,39442.60577289511,33389.19138570949
2022-01-04 23:59:00,3810.12,-0.11721037998146434,10465.71007433451,29198.867844297518,39664.57791863203,33393.99977522713
2022-01-05 23:59:00,3450.42,-0.20055143651529192,9477.679273798538,29203.07278380769,38680.75205760622,33398.80885720271
2022-01-06 23:59:00,3217.31,-0.25456209453197404,8837.368292667205,29207.27832887273,38044.646621539934,33403.61863173594
2022-01-07 23:59:00,3218.69,-0.25424235403151063,8841.15890291113,29211.48447957984,38052.64338249097,33408.42909892654
2022-01-08 23:59:00,3140.83,-0.2722822057460612,8627.2915742213,29215.69123601621,37842.98281023751,33413.24025887424
2022-01-09 23:59:00,3175.18,-0.2643234476367007,8721.644807466813,29219.89859826909,37941.5434057359,33418.052111678815
2022-01-10 23:59:00,3118.17,-0.007726455472640693,12177.386468078072,29224.106566425733,41401.4930345038,38423.40768689919
2022-01-11 23:59:00,3227.4,0.02703304746296688,12603.962287840359,29228.31514057349,41832.27742841385,38428.94105572576
2022-01-12 23:59:00,3336.92,0.06188483508090829,13031.670644339172,29232.524320799428,42264.1949651386,38434.47522141466
2022-01-13 23:59:00,3272.32,-0.026946659767941115,7572.750190362423,34237.27713665005,41810.027327012474,38440.010184080755
2022-01-14 23:59:00,3304.55,-0.0173627837546908,7647.33633677701,34242.20765930318,41889.54399608019,38445.545943838835
2022-01-15 23:59:00,3317.3,-0.013571458307314396,7676.842181232051,34247.138892002644,41923.981073234696,38451.082500803655
2022-01-16 23:59:00,3254.09,-0.03236751176054283,7530.562618251411,34252.0708348507,41782.63345310211,38456.619855090044
2022-01-17 23:59:00,3175.01,-0.05588265030003504,7347.55695711379,34257.00348794964,41604.56044506343,38462.158006812824
2022-01-18 23:59:00,3101.34,-0.07778907741440523,7177.071030760621,34261.93685140174,41439.00788216236,38467.696956086846
2022-01-19 23:59:00,3124.04,-0.0710390313237822,7229.603004809988,34266.870925309304,41496.47393011929,38473.23670302697
2022-01-20 23:59:00,2863.05,-0.08762531787560303,2368.8577534471424,39272.348739233785,41641.206492680925,38478.77724774807
2022-01-21 23:59:00,2554.94,-0.18581143523623175,2113.930748185411,39278.004364367975,41391.93511255339,38484.31859036499
2022-01-22 23:59:00,2432.51,-0.22482648294147256,2012.6334412035098,39283.66080397081,41296.294245174315,38489.86073099269
2022-01-23 23:59:00,2438.7,-0.22285390150477058,2017.7549827392277,39289.31805815937,41307.0730408986,38495.40366974587
2022-01-24 23:59:00,2379.22,0.06571527115220069,8792.265089674498,39294.97612705155,48087.24121672605,47501.92305957129
2022-01-25 23:59:00,2498.92,0.11933205226404353,9234.609274421618,39300.63501076405,48535.24428518566,47508.76382867737
2022-01-26 23:59:00,2393.81,0.07225051623508952,8846.181561315772,39306.294709414404,48152.47627073018,47515.605582925076
2022-01-27 23:59:00,2440.83,0.09331201204025948,9019.941156694298,39311.955223120065,48331.89637981437,47522.448322456316
2022-01-28 23:59:00,2538.65,0.13712816515939452,9381.429111180207,39317.61655199831,48699.04566317852,47529.2920474129
2022-01-29 23:59:00,2590.37,0.16029491469243123,9572.557275216304,39323.2786961666,48895.835971382905,47536.13675793682
2022-01-30 23:59:00,2498.7,-0.04860357530412934,10353.029786063364,39328.94165574233,49681.9714418057,48543.09066001848
2022-01-31 06:00:00,2554.74,-0.02726597749728716,9612.49002025853,40330.361556093194,49942.85157635172,48544.843097136014
